Reference, Quantity, Value, Footprint, Datasheet, Arrow Part Number, Arrow Price/Stock, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
C12 ,1,"100pF","Capacitor_SMD:C_0402_1005Metric","~"
C16 C25 ,2,"820pF","Capacitor_SMD:C_0402_1005Metric","~"
C18 C24 ,2,"0.038uF","Capacitor_SMD:C_0402_1005Metric","~"
C2 ,1,"680uF STANDARD","Capacitor_SMD:CP_Elec_16x17.5","~"
C21 C23 ,2,"6800pF","Capacitor_SMD:C_0402_1005Metric","~"
C9 C19 C22 C29 ,4,"0.47uF","Capacitor_SMD:C_0402_1005Metric","~"
C26 C27 ,2,"1000pF","Capacitor_SMD:C_0402_1005Metric","~"
C3 ,1,"1nF","Capacitor_SMD:C_0402_1005Metric","~"
C32 C33 ,2,"820uF","Capacitor_SMD:CP_Elec_10x10","~"
C35 C36 C38 C39 C45 C46 ,6,"22uF","Capacitor_SMD:C_1210_3225Metric","~"
C4 C6 C7 C8 C10 C11 C13 C15 C17 C20 C30 C31 C34 C37 C40 C43 ,16,"2.2uF","Capacitor_SMD:C_1206_3216Metric","~"
C1 C5 C14 C28 C41 C42 ,6,"1uF","Capacitor_SMD:C_0402_1005Metric","~"
C47 C50 ,2,"0.1uF","Capacitor_SMD:C_0402_1005Metric","~"
C44 C48 C49 C51 ,4,"10uF","Capacitor_SMD:C_1206_3216Metric","~"
D1 D2 ,2,"D_Schottky","Diode_SMD:D_SOD-123F","~"
F1 F2 ,2,"4A","Fuse:Fuse_1206_3216Metric","~"
H1 H3 ,2,"MountingHole_NP","MountingHole:MountingHole_4mm","~"
H2 ,1,"MountingHole_Pad","MountingHole:MountingHole_4mm_Pad","~"
IC1 ,1,"LM25119QPSQ_NOPB","LM25119QPSQ_NOPB:QFN50P500X500X80-33N","http://www.ti.com/lit/gpn/lm25119q","LM25119QPSQ/NOPB","https://www.arrow.com/en/products/lm25119qpsqnopb/texas-instruments","Switching Controllers Automotive Grade 4.5-42V Wide Vin, Current Mode Dual Synchronous Buck Controller 32-WQFN -40 to 125","0.8","Texas Instruments","LM25119QPSQ/NOPB","595-LM25119QPSQ/NOPB","https://www.mouser.com/Search/Refine.aspx?Keyword=595-LM25119QPSQ%2FNOPB"
IC2 ,1,"LMR51450FNDRRR","LMR51450FNDRRR:SON50P300X300X80-13N-D","https://www.ti.com/lit/ds/symlink/lmr51450.pdf?ts=1681907573404&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLMR51450%252Fpart-details%252FLMR51450FNDRRR","LMR51450FNDRRR","https://www.arrow.com/en/products/lmr51450fndrrr/texas-instruments?region=nac","Switching Voltage Regulators 36-V, 5-A synchronous buck converter","0.8","Texas Instruments","LMR51450FNDRRR","595-LMR51450FNDRRR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LMR51450FNDRRR?qs=rQFj71Wb1eVWWBj0Ni4OAA%3D%3D"
J1 ,1,"Conn_01x04","Connector_Molex:Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal","~"
J2 ,1,"Conn_02x15_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical","~"
L1 ,1,"8.2uH","SRP1770TA-5R6M:INDPM173169X700N","~"
L2 ,1,"5.6uH","SRP1770TA-5R6M:INDPM173169X700N","~"
L3 ,1,"6.8uH","Inductor_SMD:L_7.3x7.3_H4.5","~"
Q1 Q10 ,2,"2N3904","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 ,8,"Q_NMOS_DGS","Package_SON:VSONP-8-1EP_5x6_P1.27mm","~"
R10 ,1,"3.9R","Resistor_SMD:R_0805_2012Metric","~"
R11 ,1,"24.9k","Resistor_SMD:R_0402_1005Metric","~"
R12 ,1,"20.5k","Resistor_SMD:R_0402_1005Metric","~"
R13 R14 R15 R16 R24 R25 R26 R27 ,8,"10R","Resistor_SMD:R_0603_1608Metric","~"
R17 ,1,"3.92k","Resistor_SMD:R_0402_1005Metric","~"
R18 ,1,"1.24k","Resistor_SMD:R_0402_1005Metric","~"
R19 ,1,"84.5k","Resistor_SMD:R_0402_1005Metric","~"
R2 R30 R34 ,3,"100R","Resistor_SMD:R_0402_1005Metric","~"
R20 R21 R28 R29 ,4,"10R","Resistor_SMD:R_0402_1005Metric","~"
R22 R23 ,2,"0R005","Resistor_SMD:R_2512_6332Metric","~"
R3 ,1,"47R","Resistor_SMD:R_0402_1005Metric","~"
R1 R31 R32 R35 ,4,"100k","Resistor_SMD:R_0402_1005Metric","~"
R33 ,1,"7.15k","Resistor_SMD:R_0402_1005Metric","~"
R4 ,1,"52.3k","Resistor_SMD:R_0402_1005Metric","~"
R5 ,1,"3k","Resistor_SMD:R_0402_1005Metric","~"
R6 ,1,"5.76k","Resistor_SMD:R_0402_1005Metric","~"
R7 ,1,"1.1k","Resistor_SMD:R_0402_1005Metric","~"
R8 ,1,"124k","Resistor_SMD:R_0402_1005Metric","~"
R9 ,1,"30k","Resistor_SMD:R_0402_1005Metric","~"